"","Target","Effector","Median_FCC","MAD"
"512","Sink_E4P","SBPase",-0.1405,0.2290617
"513","Sink_G6P","SBPase",0.1865,0.2794701
"514","Sink_GLX","SBPase",0.0226,0.07724346
"515","Sink_H2O2","SBPase",0.0226,0.07724346
"516","Sink_O2G","SBPase",0.097,0.22416912
"517","Sink_OAA","SBPase",-0.0413,0.12542796
"518","Sink_P3G","SBPase",-0.0647,0.14040222
"519","Sink_PRPP","SBPase",-0.0468,0.13684398
"520","Sink_PYR","SBPase",0.0625,0.17969112
"521","Supply_COA","SBPase",0.1327,0.19066236
"522","Supply_FUM","SBPase",0.0072,0.02846592
"523","Supply_P_i","SBPase",-0.0171,0.07279566
"524","TAL","SBPase",0.0962,0.15463518
"525","TKT1","SBPase",0.0022,0.08391516
"526","TKT2","SBPase",0.0331,0.07768824
"527","TPI","SBPase",0.047,0.08272908
"528","XFPK1","SBPase",0.4143,0.6582744
"529","XFPK2","SBPase",-0.121,0.81706086
"530","ZWF","SBPase",0.2173,0.32038986
"531","ACO","RPI",0.0164,0.08317386
"532","ADK","RPI",-0.0734,0.1015581
"533","ALD","RPI",0.264,0.3602718
"534","ATPSyn","RPI",0.0084,0.01942206
"535","CS","RPI",0.0164,0.08317386
"536","DEVB","RPI",-0.0077,0.0911799
"537","ENO","RPI",0.0478,0.08910426
"538","FBA","RPI",-2e-04,0.02120118
"539","FBPase","RPI",0.264,0.3602718
"540","FUMC","RPI",-7e-04,0.01022994
"541","GAPD","RPI",0.01,0.02134944
"542","GLCO","RPI",0.016,0.02653854
"543","GND","RPI",-0.0077,0.0911799
"544","ICD","RPI",0.0164,0.08317386
"545","MDH","RPI",0.236,0.31342164
"546","ME","RPI",0.0494,0.06493788
"547","NADPase","RPI",0.0096,0.0207564
"548","PDH","RPI",0.0295,0.11104674
"549","PGI","RPI",-0.0239,0.10318896
"550","PGK","RPI",0.01,0.02134944
"551","PGM","RPI",0.0478,0.08910426
"552","PGP","RPI",0.016,0.02653854
"553","PNT","RPI",0.0105,0.04803624
"554","PPK","RPI",0.0998,0.12394536
"555","PRK","RPI",0.016,0.02653854
"556","PRSA","RPI",-0.0734,0.1015581
"557","PTA","RPI",-0.0795,0.1808772
"558","PYK","RPI",-0.1353,0.3017091
"559","RPE","RPI",0.015,0.02564898
"560","RPI","RPI",0.0177,0.02980026
"561","RuBisC","RPI",0.016,0.02653854
"562","RuBisO","RPI",0.016,0.02653854
"563","SBPase","RPI",-2e-04,0.02120118
"564","Sink_ACCOA","RPI",-0.0232,0.0429954
"565","Sink_E4P","RPI",-0.0029,0.06627222
"566","Sink_G6P","RPI",-0.0222,0.1000755
"567","Sink_GLX","RPI",0.016,0.02653854
"568","Sink_H2O2","RPI",0.016,0.02653854
"569","Sink_O2G","RPI",0.0164,0.08317386
"570","Sink_OAA","RPI",0.0675,0.0948864
"571","Sink_P3G","RPI",0.0803,0.11149152
